Repositorio;Branch;Link
Varejo_Services;WEB0158;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_Services?_a=contents&version=GBWEB0158
Varejo_Services;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_Services?_a=contents&version=GBmaster
Portal_Internet_pweb-services-ext-threeTierWidget;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Portal_Internet_pweb-services-ext-threeTierWidget?_a=contents&version=GBmaster
Servicos_pwifi-ws;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Servicos_pwifi-ws?_a=contents&version=GBmaster
OAAM_Extension;WEB0237;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAAM_Extension?_a=contents&version=GBWEB0237
OAAM_Extension;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/OAAM_Extension?_a=contents&version=GBmaster
FiberOauth;SDN347159;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/FiberOauth?_a=contents&version=GBSDN347159
FiberOauth;development;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/FiberOauth?_a=contents&version=GBdevelopment
FiberOauth;master;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/FiberOauth?_a=contents&version=GBmaster
Varejo_Commons;DEV_Integracao;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_Commons?_a=contents&version=GBDEV_Integracao
Varejo_Commons;FQA_Integracao;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_Commons?_a=contents&version=GBFQA_Integracao
Varejo_Commons;WEB0113;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_Commons?_a=contents&version=GBWEB0113
Varejo_Commons;WEB0120;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_Commons?_a=contents&version=GBWEB0120
Varejo_Commons;WEB0139;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_Commons?_a=contents&version=GBWEB0139
Varejo_Commons;WEB0139_FASE1;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_Commons?_a=contents&version=GBWEB0139_FASE1
Varejo_Commons;WEB0139_FASE1.2;https://accenturetim.visualstudio.com/WEB_VAS/WEB_VAS%20Team/_git/Varejo_Commons?_a=contents&version=GBWEB0139_FASE1.2
